File............:  ni3-xiegc - DEC,26.2017

System..........:  Ni-xiegc3
Temperature.....:  -1.3+-0.1C
Time............:  08:18:33-08:27:15
Slewrate........:  100mV/s
Comment.........:  0.6-1.9
                   
                   
                   
                   
Electr.area/sqcm:  
                   
Cyclic voltammogram

Lines:   4015
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0      -0.400      6.178e-06
2             0.1      -0.400      5.357e-06
3             0.2      -0.400      5.354e-06
4             0.3      -0.400      5.172e-06
5             0.5      -0.400      5.003e-06
6             0.6      -0.400      5.658e-06
7             0.7      -0.400      5.961e-06
8             0.8      -0.400      5.703e-06
9             1.0      -0.390      6.147e-06
10            1.1      -0.377      6.270e-06
11            1.2      -0.364      6.176e-06
12            1.4      -0.351      6.698e-06
13            1.5      -0.338      7.014e-06
14            1.6      -0.325      5.968e-06
15            1.8      -0.312      6.026e-06
16            1.9      -0.299      5.871e-06
17            2.0      -0.286      7.110e-06
18            2.1      -0.273      6.751e-06
19            2.3      -0.260      7.654e-06
20            2.4      -0.247      7.470e-06
21            2.5      -0.234      7.408e-06
22            2.7      -0.221      8.236e-06
23            2.8      -0.208      7.985e-06
24            2.9      -0.195      8.669e-06
25            3.1      -0.182      8.663e-06
26            3.2      -0.169      8.696e-06
27            3.3      -0.156      8.887e-06
28            3.4      -0.143      9.349e-06
29            3.6      -0.130      9.968e-06
30            3.7      -0.117      1.093e-05
31            3.8      -0.104      1.151e-05
32            4.0      -0.091      1.727e-05
33            4.1      -0.078      2.983e-05
34            4.2      -0.065      4.145e-05
35            4.4      -0.052      4.474e-05
36            4.5      -0.039      3.913e-05
37            4.6      -0.026      3.269e-05
38            4.7      -0.013      2.869e-05
39            4.9       0.001      2.791e-05
40            5.0       0.014      2.478e-05
41            5.1       0.027      2.283e-05
42            5.3       0.040      2.428e-05
43            5.4       0.053      2.577e-05
44            5.5       0.066      3.231e-05
45            5.7       0.079      4.221e-05
46            5.8       0.092      5.846e-05
47            5.9       0.105      8.025e-05
