File.......:   - MAR,07.2019

System.....:  GO-Ni
Potential..:  0.170V
Current....:  250.81uA
Temperature:  -1.2+-0.0C
Time.......:  09:49:37 - 09:54:03
Comment....:  
              
              
              
(area/cm^2):  
              
Impedance samples

Lines:   62
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.6463e+01       -1.4597e+00        0.998           0.0
   2      7.9613e+05       1.7117e+01       -1.8520e+00        0.998           2.4
   3      6.3382e+05       1.7749e+01       -2.3363e+00        0.999           3.0
   4      5.0460e+05       1.8295e+01       -2.3115e+00        0.998           4.0
   5      4.0173e+05       1.9159e+01       -2.2977e+00        0.998           4.8
   6      3.1983e+05       1.8965e+01       -2.8500e+00        0.991           5.6
   7      2.5462e+05       2.0000e+01       -2.1565e+00        0.998           6.7
   8      2.0271e+05       2.0087e+01       -2.1496e+00        0.997           7.5
   9      1.6139e+05       2.0463e+01       -1.7845e+00        0.994           8.2
  10      1.2848e+05       2.1039e+01       -1.4702e+00        0.998           9.1
  11      1.0229e+05       2.1061e+01       -1.0494e+00        0.998           9.9
  12      8.1436e+04       2.1338e+01       -1.1505e+00        0.999          10.4
  13      6.4833e+04       2.1519e+01       -1.0398e+00        0.999          10.9
  14      5.1616e+04       2.1386e+01       -6.3731e-01        0.999          11.5
  15      4.1093e+04       2.1664e+01       -7.3051e-01        0.999          12.0
  16      3.2715e+04       2.1676e+01       -6.5726e-01        1.000          12.5
  17      2.6045e+04       2.1803e+01       -5.3433e-01        0.995          13.1
  18      2.0735e+04       2.1794e+01       -4.9474e-01        0.999          13.6
  19      1.6508e+04       2.1837e+01       -4.8026e-01        0.999          14.1
  20      1.3143e+04       2.1868e+01       -4.9242e-01        0.998          14.6
  21      1.0463e+04       2.1845e+01       -4.9325e-01        0.999          15.1
  22      8.3300e+03       2.1898e+01       -5.2844e-01        0.998          15.7
  23      6.6318e+03       2.1990e+01       -6.4181e-01        0.999          16.2
  24      5.2797e+03       2.1931e+01       -7.0307e-01        1.000          16.7
  25      4.2033e+03       2.1928e+01       -7.9936e-01        0.999          17.3
  26      3.3464e+03       2.1965e+01       -9.5291e-01        0.999          17.8
  27      2.6642e+03       2.1981e+01       -1.1483e+00        0.998          18.3
  28      2.1210e+03       2.2028e+01       -1.3941e+00        0.999          18.8
  29      1.6886e+03       2.2067e+01       -1.7016e+00        0.999          19.3
  30      1.3443e+03       2.2137e+01       -2.0877e+00        0.999          19.8
  31      1.0703e+03       2.2217e+01       -2.5485e+00        1.000          20.4
  32      8.5207e+02       2.2315e+01       -3.1276e+00        0.999          20.9
  33      6.7836e+02       2.2474e+01       -3.8203e+00        0.999          21.4
  34      5.4006e+02       2.2664e+01       -4.6926e+00        0.999          21.9
  35      4.2996e+02       2.2901e+01       -5.7486e+00        0.999          22.5
  36      3.4230e+02       2.3242e+01       -7.0177e+00        0.999          23.0
  37      2.7252e+02       2.3628e+01       -8.5923e+00        0.999          23.6
  38      2.1696e+02       2.4154e+01       -1.0583e+01        0.999          24.2
  39      1.7273e+02       2.4880e+01       -1.2775e+01        0.999          24.7
  40      1.3751e+02       2.5888e+01       -1.5604e+01        0.999          25.3
  41      1.0948e+02       2.7337e+01       -1.9128e+01        0.998          26.0
  42      8.7158e+01       2.9255e+01       -2.2964e+01        0.998          26.6
  43      6.9389e+01       3.2001e+01       -2.7575e+01        0.997          27.4
  44      5.4986e+01       3.5824e+01       -3.2902e+01        0.997          28.9
  45      4.3197e+01       4.1230e+01       -3.9001e+01        0.995          30.8
  46      3.3621e+01       4.9089e+01       -4.5246e+01        0.989          32.2
  47      2.5908e+01       6.0005e+01       -5.1558e+01        0.993          34.3
  48      1.9750e+01       7.3115e+01       -5.5722e+01        0.991          36.5
  49      1.4882e+01       8.8210e+01       -5.6835e+01        0.989          38.5
  50      1.1075e+01       1.0350e+02       -5.4266e+01        0.987          40.9
  51      8.1328e+00       1.1727e+02       -4.8514e+01        0.986          43.7
  52      5.8873e+00       1.2813e+02       -4.0641e+01        0.986          46.9
  53      4.1976e+00       1.3606e+02       -3.2304e+01        0.985          50.9
  54      2.9454e+00       1.4155e+02       -2.5032e+01        0.984          55.9
  55      2.0328e+00       1.4532e+02       -1.8928e+01        0.984          62.3
  56      1.3793e+00       1.4801e+02       -1.4635e+01        0.984          71.9
  57      9.2034e-01       1.5033e+02       -1.0824e+01        0.984          83.9
  58      6.0431e-01       1.5219e+02       -8.7198e+00        0.984          99.4
  59      3.9107e-01       1.5415e+02       -7.1502e+00        0.984         121.1
  60      2.5004e-01       1.5604e+02       -6.2722e+00        0.984         149.6
  61      1.5849e-01       1.5712e+02       -5.9554e+00        0.985         189.5
  62      1.0000e-01       1.5741e+02       -5.2948e+00        0.985         243.1

