File............:   - MAR,07.2019

System..........:  
Control.........:  
Temperature.....:  -0.1+-0.4C
Time............:  MAR,07.2019
Comment.........:  09:56:26 - 10:01:28
                   
                   
                   
                   
Electr.area/sqcm:  
                    
polarization data

Lines:   301
Columns: 3

Number     Time/s     Potential/V    Current/A 
1              0.0     1.2886e-01    0.0000e+00
2              1.0     1.2820e-01    0.0000e+00
3              2.0     1.2757e-01    0.0000e+00
4              3.0     1.2710e-01    0.0000e+00
5              4.0     1.2674e-01    0.0000e+00
6              5.0     1.2660e-01    0.0000e+00
7              6.0     1.2599e-01    0.0000e+00
8              7.0     1.2532e-01    0.0000e+00
9              8.0     1.2540e-01    0.0000e+00
10             9.0     1.2494e-01    0.0000e+00
11            10.0     1.2459e-01    0.0000e+00
12            11.0     1.2431e-01    0.0000e+00
13            12.0     1.2393e-01    0.0000e+00
14            13.0     1.2360e-01    0.0000e+00
15            14.0     1.2336e-01    0.0000e+00
16            15.0     1.2334e-01    0.0000e+00
17            16.0     1.2279e-01    0.0000e+00
18            17.0     1.2248e-01    0.0000e+00
19            18.0     1.2247e-01    0.0000e+00
20            19.0     1.2212e-01    0.0000e+00
21            20.0     1.2186e-01    0.0000e+00
22            21.0     1.2193e-01    0.0000e+00
23            22.0     1.2164e-01    0.0000e+00
24            23.0     1.2136e-01    0.0000e+00
25            24.0     1.2110e-01    0.0000e+00
26            25.0     1.2073e-01    0.0000e+00
27            26.0     1.2066e-01    0.0000e+00
28            27.0     1.2039e-01    0.0000e+00
29            28.0     1.2038e-01    0.0000e+00
30            29.0     1.1997e-01    0.0000e+00
31            30.0     1.1989e-01    0.0000e+00
32            31.0     1.1964e-01    0.0000e+00
33            32.0     1.1949e-01    0.0000e+00
34            33.0     1.1887e-01    0.0000e+00
35            34.0     1.1893e-01    0.0000e+00
36            35.0     1.1890e-01    0.0000e+00
37            36.0     1.1875e-01    0.0000e+00
38            37.0     1.1849e-01    0.0000e+00
39            38.0     1.1857e-01    0.0000e+00
40            39.0     1.1832e-01    0.0000e+00
41            40.0     1.1789e-01    0.0000e+00
42            41.0     1.1764e-01    0.0000e+00
43            42.0     1.1782e-01    0.0000e+00
44            43.0     1.1750e-01    0.0000e+00
45            44.0     1.1731e-01    0.0000e+00
46            45.0     1.1714e-01    0.0000e+00
47            46.0     1.1698e-01    0.0000e+00
48            47.0     1.1687e-01    0.0000e+00
49            48.0     1.1679e-01    0.0000e+00
50            49.0     1.1655e-01    0.0000e+00
51            50.0     1.1631e-01    0.0000e+00
52            51.0     1.1622e-01    0.0000e+00
53            52.0     1.1580e-01    0.0000e+00
54            53.0     1.1585e-01    0.0000e+00
55            54.0     1.1575e-01    0.0000e+00
56            55.0     1.1530e-01    0.0000e+00
57            56.0     1.1536e-01    0.0000e+00
58            57.0     1.1523e-01    0.0000e+00
59            58.0     1.1512e-01    0.0000e+00
60            59.0     1.1605e-01    0.0000e+00
61            60.0     1.1622e-01    0.0000e+00
62            61.0    -1.2873e-01    0.0000e+00
63            62.0    -1.2847e-01    0.0000e+00
64            63.0    -1.2819e-01    0.0000e+00
65            64.0    -1.2816e-01    0.0000e+00
66            65.0    -1.2826e-01    0.0000e+00
