 PVI-Measurement from: Date 16:12:19  Time 09:59:11 
                   to:      16:12:19       11:51:19 
            Condition: stopped                      
 -------------------------------------------------- 
 System :
 Temp   :
 Comment:
        :
        :
        :
        :
        :
        :
 -------------------------------------------------- 
 S-FILE   : >unnamed<                               
 RunTime  :   1h  52min  8.0  sek                   
 PotRange :  7.33146e-01V   to   7.39589e-01V       
 CurRange :  5.29124e-03A   to   6.93181e-03A       

Lines:   3365
Columns: 4

 Index        Time/s        Potential/V      Current/A   
      1          0.00000     7.33146e-01     6.93181e-03 
      2          1.00000     7.33146e-01     6.93181e-03 
      3          3.00000     7.39516e-01     6.91133e-03 
      4          5.00000     7.39454e-01     6.88702e-03 
      5          7.00000     7.39455e-01     6.88544e-03 
      6          9.00000     7.39461e-01     6.85288e-03 
      7         11.00000     7.39459e-01     6.85225e-03 
      8         13.00000     7.39408e-01     6.83787e-03 
      9         15.00000     7.39478e-01     6.83928e-03 
     10         17.00000     7.39431e-01     6.70319e-03 
     11         19.00000     7.39452e-01     6.65984e-03 
     12         21.00000     7.39451e-01     6.67226e-03 
     13         23.00000     7.39375e-01     6.68294e-03 
     14         25.00000     7.39442e-01     6.71110e-03 
     15         27.00000     7.39416e-01     6.72663e-03 
     16         29.00000     7.39396e-01     6.73129e-03 
     17         31.00000     7.39414e-01     6.74440e-03 
     18         33.00000     7.39449e-01     6.76104e-03 
     19         35.00000     7.39398e-01     6.77527e-03 
     20         37.00000     7.39409e-01     6.78453e-03 
     21         39.00000     7.39483e-01     6.78780e-03 
     22         41.00000     7.39428e-01     6.69777e-03 
     23         43.00000     7.39431e-01     6.55193e-03 
     24         45.00000     7.39393e-01     6.51522e-03 
     25         47.00000     7.39402e-01     6.53334e-03 
     26         49.00000     7.39386e-01     6.55011e-03 
     27         51.00000     7.39430e-01     6.57627e-03 
     28         53.00000     7.39522e-01     6.70404e-03 
     29         55.00000     7.39419e-01     6.76892e-03 
     30         57.00000     7.39461e-01     6.66369e-03 
     31         59.00000     7.39432e-01     6.66032e-03 
     32         61.00000     7.39416e-01     6.65392e-03 
     33         63.00000     7.39408e-01     6.67039e-03 
     34         65.00000     7.39467e-01     6.67750e-03 
     35         67.00000     7.39516e-01     6.70145e-03 
     36         69.00000     7.39540e-01     6.71877e-03 
     37         71.00000     7.39385e-01     6.74863e-03 
     38         73.00000     7.39436e-01     6.74242e-03 
     39         75.00000     7.39452e-01     6.65377e-03 
     40         77.00000     7.39488e-01     6.58718e-03 
     41         79.00000     7.39504e-01     6.58662e-03 
     42         81.00000     7.39432e-01     6.61152e-03 
     43         83.00000     7.39412e-01     6.61408e-03 
     44         85.00000     7.39511e-01     6.62341e-03 
     45         87.00000     7.39438e-01     6.64423e-03 
     46         89.00000     7.39391e-01     6.67660e-03 
     47         91.00000     7.39550e-01     6.67081e-03 
     48         93.00000     7.39438e-01     6.68773e-03 
     49         95.00000     7.39496e-01     6.72524e-03 
     50         97.00000     7.39437e-01     6.73039e-03 
     51         99.00000     7.39514e-01     6.65852e-03 
     52        101.00000     7.39423e-01     6.58486e-03 
     53        103.00000     7.39386e-01     6.58776e-03 
     54        105.00000     7.39445e-01     6.63810e-03 
     55        107.00000     7.39447e-01     6.69001e-03 
     56        109.00000     7.39387e-01     6.73064e-03 
     57        111.00000     7.39469e-01     6.75408e-03 
     58        113.00000     7.39432e-01     6.75158e-03 
     59        115.00000     7.39581e-01     6.76426e-03 
     60        117.00000     7.39461e-01     6.75688e-03 
     61        119.00000     7.39378e-01     6.59048e-03 
     62        121.00000     7.39513e-01     6.59074e-03 
     63        123.00000     7.39409e-01     6.59586e-03 
     64        125.00000     7.39428e-01     6.61625e-03 
     65        127.00000     7.39511e-01     6.61743e-03 
     66        129.00000     7.39445e-01     6.63586e-03 
     67        131.00000     7.39419e-01     6.66551e-03 
     68        133.00000     7.39442e-01     6.68521e-03 
     69        135.00000     7.39435e-01     6.70286e-03 
     70        137.00000     7.39501e-01     6.72111e-03 
     71        139.00000     7.39455e-01     6.73624e-03 
     72        141.00000     7.39484e-01     6.76212e-03 
     73        143.00000     7.39395e-01     6.62680e-03 
     74        145.00000     7.39523e-01     6.61723e-03 
     75        147.00000     7.39406e-01     6.62195e-03 
     76        149.00000     7.39416e-01     6.63969e-03 
     77        151.00000     7.39424e-01     6.64751e-03 
     78        153.00000     7.39446e-01     6.69482e-03 
     79        155.00000     7.39415e-01     6.72488e-03 
     80        157.00000     7.39346e-01     6.75780e-03 
     81        159.00000     7.39466e-01     6.77449e-03 
     82        161.00000     7.39470e-01     6.77880e-03 
     83        163.00000     7.39438e-01     6.65705e-03 
     84        165.00000     7.39426e-01     6.61222e-03 
     85        167.00000     7.39443e-01     6.61065e-03 
     86        169.00000     7.39463e-01     6.62631e-03 
     87        171.00000     7.39469e-01     6.65363e-03 
     88        173.00000     7.39402e-01     6.67656e-03 
     89        175.00000     7.39481e-01     6.68781e-03 
     90        177.00000     7.39470e-01     6.70638e-03 
     91        179.00000     7.39462e-01     6.72873e-03 
     92        181.00000     7.39415e-01     6.75211e-03 
     93        183.00000     7.39437e-01     6.75469e-03 
     94        185.00000     7.39488e-01     6.73588e-03 
     95        187.00000     7.39406e-01     6.73274e-03 
     96        189.00000     7.39489e-01     6.65720e-03 
     97        191.00000     7.39528e-01     6.60034e-03 
     98        193.00000     7.39499e-01     6.59813e-03 
     99        195.00000     7.39307e-01     6.60878e-03 
    100        197.00000     7.39490e-01     6.62711e-03 
    101        199.00000     7.39495e-01     6.65300e-03 
    102        201.00000     7.39426e-01     6.66893e-03 
    103        203.00000     7.39546e-01     6.68938e-03 
    104        205.00000     7.39486e-01     6.71394e-03 
    105        207.00000     7.39393e-01     6.72665e-03 
    106        209.00000     7.39478e-01     6.63923e-03 
    107        211.00000     7.39436e-01     6.56389e-03 
    108        213.00000     7.39467e-01     6.56408e-03 
    109        215.00000     7.39465e-01     6.58590e-03 
    110        217.00000     7.39477e-01     6.60960e-03 
    111        219.00000     7.39480e-01     6.61896e-03 
    112        221.00000     7.39416e-01     6.64367e-03 
    113        223.00000     7.39399e-01     6.64110e-03 
    114        225.00000     7.39518e-01     6.66865e-03 
    115        227.00000     7.39472e-01     6.67841e-03 
    116        229.00000     7.39453e-01     6.71191e-03 
    117        231.00000     7.39489e-01     6.73512e-03 
    118        233.00000     7.39399e-01     6.74741e-03 
    119        235.00000     7.39382e-01     6.65523e-03 
    120        237.00000     7.39443e-01     6.60747e-03 
    121        239.00000     7.39455e-01     6.60573e-03 
    122        241.00000     7.39495e-01     6.59805e-03 
    123        243.00000     7.39467e-01     6.59550e-03 
    124        245.00000     7.39453e-01     6.61773e-03 
    125        247.00000     7.39432e-01     6.62825e-03 
    126        249.00000     7.39473e-01     6.65627e-03 
    127        251.00000     7.39400e-01     6.66515e-03 
    128        253.00000     7.39444e-01     6.67935e-03 
    129        255.00000     7.39412e-01     6.71268e-03 
    130        257.00000     7.39437e-01     6.73190e-03 
    131        259.00000     7.39488e-01     6.74897e-03 
    132        261.00000     7.39461e-01     6.68449e-03 
    133        263.00000     7.39445e-01     6.60006e-03 
    134        265.00000     7.39467e-01     6.60312e-03 
    135        267.00000     7.39345e-01     6.59093e-03 
    136        269.00000     7.39433e-01     6.61730e-03 
    137        271.00000     7.39503e-01     6.62377e-03 
    138        273.00000     7.39401e-01     6.63892e-03 
    139        275.00000     7.39455e-01     6.65418e-03 
    140        277.00000     7.39480e-01     6.66783e-03 
    141        279.00000     7.39455e-01     6.68169e-03 
    142        281.00000     7.39448e-01     6.69699e-03 
    143        283.00000     7.39385e-01     6.71564e-03 
    144        285.00000     7.39470e-01     6.73322e-03 
    145        287.00000     7.39423e-01     6.71861e-03 
    146        289.00000     7.39437e-01     6.62380e-03 
    147        291.00000     7.39392e-01     6.60400e-03 
    148        293.00000     7.39460e-01     6.59407e-03 
    149        295.00000     7.39392e-01     6.59671e-03 
    150        297.00000     7.39361e-01     6.60865e-03 
    151        299.00000     7.39427e-01     6.60943e-03 
    152        301.00000     7.39431e-01     6.62650e-03 
    153        303.00000     7.39408e-01     6.64241e-03 
    154        305.00000     7.39419e-01     6.66811e-03 
    155        307.00000     7.39495e-01     6.68591e-03 
    156        309.00000     7.39409e-01     6.69226e-03 
    157        311.00000     7.39451e-01     6.69670e-03 
    158        313.00000     7.39365e-01     6.69946e-03 
    159        315.00000     7.39465e-01     6.66753e-03 
    160        317.00000     7.39410e-01     6.59140e-03 
    161        319.00000     7.39406e-01     6.51798e-03 
    162        321.00000     7.39533e-01     6.58985e-03 
    163        323.00000     7.39419e-01     6.62920e-03 
    164        325.00000     7.39415e-01     6.61636e-03 
    165        327.00000     7.39413e-01     6.62261e-03 
    166        329.00000     7.39433e-01     6.57725e-03 
    167        331.00000     7.39515e-01     6.45230e-03 
    168        333.00000     7.39335e-01     6.46788e-03 
    169        335.00000     7.39402e-01     6.49188e-03 
    170        337.00000     7.39489e-01     6.50238e-03 
    171        339.00000     7.39477e-01     6.53004e-03 
    172        341.00000     7.39455e-01     6.53303e-03 
    173        343.00000     7.39385e-01     6.56098e-03 
    174        345.00000     7.39458e-01     6.58483e-03 
    175        347.00000     7.39481e-01     6.59843e-03 
    176        349.00000     7.39515e-01     6.62364e-03 
    177        351.00000     7.39432e-01     6.64378e-03 
    178        353.00000     7.39361e-01     6.67945e-03 
    179        355.00000     7.39439e-01     6.64695e-03 
    180        357.00000     7.39506e-01     6.58485e-03 
    181        359.00000     7.39403e-01     6.55866e-03 
    182        361.00000     7.39396e-01     6.58408e-03 
    183        363.00000     7.39450e-01     6.56901e-03 
    184        365.00000     7.39431e-01     6.57834e-03 
    185        367.00000     7.39417e-01     6.57492e-03 
    186        369.00000     7.39380e-01     6.59774e-03 
    187        371.00000     7.39339e-01     6.60366e-03 
    188        373.00000     7.39409e-01     6.62810e-03 
    189        375.00000     7.39423e-01     6.64711e-03 
    190        377.00000     7.39490e-01     6.66691e-03 
    191        379.00000     7.39408e-01     6.66934e-03 
